-0.083778+0.056895j 0.193475-0.274212j -0.182323-0.191707j -0.119224-0.098537j -0.076877+0.225235j -0.147945+0.220360j 0.058934-0.099793j -0.159508-0.001757j -0.047482-0.053971j 0.125124-0.512277j -0.039073+0.210768j 0.180245+0.142201j -0.272409-0.068854j -0.259421+0.122188j -0.183299-0.199962j -0.000693+0.023804j
-0.073310+0.105243j 0.019007+0.198312j -0.002917+0.411505j -0.343633-0.158681j -0.096919-0.047799j -0.012518-0.189511j 0.055186+0.012054j -0.076683-0.041371j -0.009294+0.153586j -0.161893-0.157088j -0.184727-0.295098j -0.138319+0.255832j 0.079549-0.157337j -0.209374+0.408087j 0.042692+0.027626j -0.219659+0.008896j
0.193299-0.101197j -0.070182+0.153449j 0.049367-0.168869j -0.294680+0.064704j -0.272896+0.251018j -0.194083-0.132161j -0.316823+0.013901j -0.065720+0.063070j 0.301543-0.038539j -0.078202+0.040300j 0.029703+0.043162j -0.325162-0.059263j -0.015526+0.065552j -0.108024-0.017842j -0.320448+0.082520j 0.233736-0.328125j
0.223282+0.261275j 0.456909+0.052585j -0.161923+0.077829j 0.214154+0.071238j -0.126434-0.131749j -0.108261+0.039020j 0.095659+0.182261j 0.056090-0.056268j -0.176374-0.065700j -0.113394-0.038697j -0.148394-0.313639j 0.193810-0.165341j 0.162623-0.042657j 0.064746-0.029069j -0.396898+0.054615j 0.181923-0.172881j
-0.004604-0.075794j -0.158524-0.210450j 0.253138-0.103148j 0.008175+0.034374j -0.214859-0.277268j 0.010367+0.245819j -0.156880+0.314224j 0.075998-0.102273j -0.155391+0.302338j 0.010132-0.184919j 0.047059+0.071701j 0.058323+0.406969j 0.285965+0.100713j 0.024474+0.083271j 0.050704+0.109336j 0.265904-0.121542j
0.153342-0.145348j 0.019809-0.039173j 0.036426+0.308539j -0.258250-0.082431j 0.065088+0.113947j 0.123575+0.129292j 0.029176+0.227858j 0.127963-0.538390j 0.114697-0.054699j 0.023650-0.000104j 0.153278-0.173398j 0.055204+0.146385j -0.356749+0.072355j 0.167508-0.306429j -0.097470-0.122377j 0.027216+0.027960j
0.421865-0.076298j -0.134625+0.140583j -0.229603+0.089013j 0.128127-0.230257j 0.149043-0.076257j -0.214799-0.060661j -0.091296+0.001477j -0.495446-0.061176j 0.043771-0.220651j -0.051103-0.065622j 0.022178+0.085419j 0.161720+0.181092j 0.044925-0.119413j 0.098412+0.018303j 0.258085+0.136915j 0.267192+0.074522j
0.001412+0.014663j -0.045990-0.173879j -0.237465+0.014683j -0.123066+0.389990j -0.162774-0.149173j 0.104815+0.070412j 0.079780+0.040237j 0.076338+0.000123j 0.162945-0.250750j -0.013641-0.315318j -0.268625-0.171888j -0.271652-0.186332j -0.037274+0.007994j 0.099562-0.020230j 0.451598-0.071089j 0.210358-0.028455j
0.154981+0.000757j -0.085431-0.072862j 0.151492-0.247628j 0.134779-0.182090j -0.023564+0.070492j 0.195959-0.261567j -0.098604+0.181409j 0.204091+0.370080j -0.055819-0.128834j -0.184497-0.107260j -0.190488-0.315246j 0.089232+0.238186j -0.352804-0.008961j -0.144198-0.184127j 0.027339+0.145623j 0.018243+0.164452j
-0.228414+0.166787j 0.036948+0.267134j 0.116142+0.132915j -0.081544-0.277627j 0.171628+0.292947j 0.193505+0.121779j 0.205924-0.139005j 0.116199+0.140913j 0.035365-0.069137j 0.120195-0.226154j -0.221133+0.135484j -0.057414+0.103260j 0.182200+0.099292j 0.252920-0.166644j -0.030151+0.231287j 0.344824-0.093965j
-0.050087+0.147683j 0.028225+0.245570j 0.094764-0.170395j 0.024295-0.018797j 0.185099+0.237715j -0.075937+0.407808j -0.209601+0.227954j -0.160796-0.143344j -0.177618+0.252725j -0.306316+0.017118j -0.177283-0.060778j -0.200919-0.239772j -0.029481-0.127721j -0.173676-0.133645j 0.187594-0.081763j 0.036827+0.198790j
-0.087551-0.283094j 0.120919-0.122961j -0.153423+0.148762j -0.121766+0.043521j 0.009135+0.109161j 0.239021-0.221849j -0.274037+0.286829j 0.020692+0.035220j 0.067034-0.082812j -0.021526-0.075088j -0.145307+0.250977j 0.111511-0.097383j 0.417660-0.219249j -0.049642-0.141412j -0.170713-0.057062j -0.006152+0.376558j
0.133660-0.285267j -0.114717+0.039419j 0.248661-0.354468j -0.058238-0.191133j 0.245545-0.136605j 0.084372+0.041345j 0.156786+0.000562j 0.081915-0.167696j -0.124328-0.313353j -0.072546-0.170509j -0.047010-0.081511j -0.190770-0.144654j 0.128226-0.205176j 0.214677+0.332166j -0.219399-0.170445j -0.067412-0.024461j
-0.138383-0.338623j 0.396794+0.027401j 0.059439-0.032471j 0.205918-0.059683j -0.179376+0.059769j 0.045440+0.095477j 0.067841-0.333718j 0.117293-0.141309j 0.193026-0.074942j -0.380266+0.023728j 0.270534-0.104626j -0.043393+0.105840j 0.079119+0.045986j -0.172056+0.101879j 0.133097+0.106531j 0.231138+0.211439j
-0.254712+0.002043j 0.096871-0.228846j 0.008607-0.017238j 0.123392-0.251537j 0.203015-0.167575j -0.385729-0.135321j 0.042924+0.182689j -0.089396+0.072682j 0.404863+0.115419j -0.289719-0.173610j -0.047961-0.028822j -0.130391+0.009687j 0.075422+0.194708j 0.221719-0.206025j -0.021828-0.133689j -0.189386-0.092991j
0.203288+0.133236j 0.143628-0.186096j 0.000087-0.131898j -0.244100-0.052569j -0.154468+0.335245j -0.042881-0.200902j 0.308574+0.139242j -0.135973+0.120330j -0.323625+0.024144j -0.033386+0.038664j 0.341881-0.064391j -0.201502+0.032691j 0.239689+0.199371j 0.181219-0.052658j 0.173839-0.122566j -0.015480+0.175984j
