-9.665148+18.090832j -30.122067-9.641944j +45.124968+18.866918j -28.649992-14.350731j +47.284074-1.162873j +9.106924+42.795615j +31.473309-0.945223j +29.460853+3.437463j +32.940649+43.024872j +6.717515-41.774259j -0.309470-14.206803j +20.457185+15.152125j +31.417704+36.539020j -29.990088+16.925776j +31.031645-16.952827j -35.400371+28.655617j
+28.616165+42.733045j +37.040602-48.830718j -14.062713-48.716970j +3.007342+40.152952j +26.479853+37.289513j -34.531755-8.569348j +34.691183-3.315035j -24.806063+1.137515j -19.984302-23.337542j +15.893585+25.532251j -15.762592-1.001317j +34.623998+12.705469j +23.279012-30.023724j -23.535102+41.957219j -22.988279+27.988484j +22.531379-23.306169j
+41.030099-4.917381j -19.040455-47.353268j -33.053167+11.047944j -40.916629+33.704001j +8.012721+29.779611j -1.604073-23.110500j -43.131898-27.750220j +0.227342+6.203097j -36.762153+28.464736j +22.693884-25.242642j +37.434250+43.914237j +2.164289-21.165301j +16.490959-0.971978j -6.030773-22.745938j +42.855474+13.379903j +30.251069+26.664444j
-9.758741+18.925446j -42.543738+35.654930j +35.146082-40.879706j +45.950987+10.667451j -25.572798-6.147553j -37.985924-2.035523j +37.901576-17.114528j +5.187167+46.314556j -44.176631+41.126390j +46.576223-20.876547j -19.293735+5.866962j -43.362446+24.862478j -48.212047-3.335958j -37.065168+45.744944j -1.118901-18.871808j -38.496335-21.827026j
-1.576812-17.778355j +17.782645+22.171364j -11.705275+22.582775j +41.235792+6.590101j -32.408765-29.235909j +4.873561+12.774718j +17.675134+16.175262j +13.935769-32.368643j +37.833435+22.478410j +24.713539+40.250736j -15.631659+41.047633j +42.447979-0.292314j -5.875416+21.112369j +31.656887-17.599515j +44.641707+42.643569j +4.669158+49.705944j
+26.798502+23.097199j +41.021141+0.185418j -33.851143-20.002115j +34.422704+1.097893j +14.878749+25.290278j -44.977200-38.805913j -31.450960-4.190372j -9.167563+31.670634j +49.252139+25.374681j -15.018195+6.642641j -7.587635-15.099520j +10.126671+20.591984j +29.588846-42.997011j +11.657134+44.780424j +22.368884-4.801347j +6.862930+39.655179j
+37.453642+10.034922j +17.295818+11.574955j -16.797366-42.563324j -19.584699+45.422464j -19.260021-4.548952j -43.500159-33.964706j -35.051215-18.757939j +3.121698+2.731927j +18.157691-48.537929j +3.968865-45.096296j +27.917652+27.014662j -42.500414+45.853153j -11.267897+10.436894j -47.016730-40.154190j -35.878712-17.764246j -49.713194+44.401104j
-14.715535-28.200900j +0.575735-7.671692j +8.489196-26.880951j -17.354821+4.875760j +10.545839-33.010074j +25.796007-37.440727j +43.021378+16.135521j +49.338467+0.066682j +24.503160+27.816378j -4.328557-34.985862j -16.013464+17.254201j +7.953294-28.253499j -35.275852-22.506820j -14.062726+40.522997j +26.918490-17.786370j +46.442599+8.722845j
-7.806677+24.845084j -11.160813+2.389880j -0.193471-39.159211j +6.082710-14.334057j -49.875503+15.338713j +23.702658+21.584268j -37.665415+34.938962j +36.836668-42.344610j -29.630167-19.653938j +25.743667-10.882215j +21.662341+14.816334j -38.228318-11.657422j +25.186645+11.776302j +45.035481-19.018912j +36.878997+13.075055j -18.847209+5.409800j
-10.111488+48.873347j +46.045073-45.385487j +22.114325+1.167249j +20.952112-17.790850j +47.937535-1.152996j -8.017941+26.560271j -6.883978-7.589623j -28.097289-13.873484j -34.597950-21.601062j -17.668089+49.730492j +28.184098-47.542543j +0.978997-31.715906j +47.693036+5.948323j -23.829369+19.750485j -14.120175-22.864018j -20.152113-44.181672j
+11.654358+1.731868j -16.387275+15.217178j +46.432525+30.632415j +30.140556+2.396545j +41.027745-48.787489j -17.633638+18.919688j -30.696181-29.634737j -41.552845-8.061931j -21.156091+5.184892j +21.599511+45.619223j +32.605366+37.917783j -20.719376+33.016994j +40.433670-13.575897j -18.120068-15.773654j +31.705671-22.335485j +11.829423-22.949668j
-25.257961+11.128444j +3.096713-18.081039j -19.451327+24.451735j -2.362623+24.050201j -25.161847+29.332329j -8.416946+18.281694j -24.233996+45.246232j +15.039202-22.052084j +28.012045+49.945427j -14.016596-39.528998j +10.784407+9.002073j +8.015167-1.863337j +20.026306-47.878505j +0.425023+45.669001j -46.679834-5.847445j +37.207023+20.756415j
+47.979403-39.579078j +41.334004-28.179635j -19.127900+20.171843j +13.612152-48.394897j -13.096874+5.588915j +23.603222+11.626010j -49.242499+30.314737j +37.026964-33.841063j +1.503607-12.953194j +6.917066+30.703227j +11.049026-23.772309j -49.208701+45.770519j -3.693493-2.658588j +8.813112-42.400300j +32.219136-12.227727j -10.635144+46.876040j
-27.004484-47.897883j -36.243383-42.384385j -19.271520+45.309518j +43.906770-38.928615j -41.165726+48.270064j -19.467595+8.212035j +1.373516-15.490711j +44.565317+46.527661j -11.692658+34.441189j -17.781847+3.549908j -2.192555-32.354013j +6.364995+43.212152j +35.930481+47.305648j -5.295144+14.748751j -29.059096-28.687727j +10.561789-20.227269j
